"Product ID";"Combination ID";"Indeks produktu";"Nr ref. kombinacji";"Nazwa produktu";"Nazwa kombinacji";Dostawca;Wyświetlany;"Fizyczny stan magazynu";"Zarezerwowana ilość";"Dostępna ilość";"Niski poziom produktów w magazynie";"Wyślij do mnie wiadomość e-mail, gdy ilość jest niższa lub równa temu poziomowi"
299;0;3033ff7a-a1f4-3542-aa9f-d09b4e98ba23;N/A;"Nike Air Max Plus III";N/A;N/A;1;9;0;9;0;0
301;0;c987c9e6-fe99-4937-a463-be6b83760877;N/A;"Nike Dunk Low Retro";N/A;N/A;1;10;0;10;0;0
302;0;e4081e60-d2b1-36d5-8dce-fec4e56ad343;N/A;"Nike Sportswear Club";N/A;N/A;1;0;0;0;0;1
303;0;322a21a4-c889-4383-9c70-0ee2e62c8e92;N/A;"Nike Dunk Low Retro";N/A;N/A;1;5;0;5;0;0
305;0;e64f7dd7-c37c-4425-9aa7-e17989bf9d2b;N/A;"Nike Dunk Low";N/A;N/A;1;4;0;4;0;0
307;0;a9da5488-76cc-4234-8276-25715481ac01;N/A;"Nike Dunk Low";N/A;N/A;1;1;0;1;0;0
308;0;4dc31e6b-63be-3b79-a963-4de3236d157d;N/A;"Nike Everyday Cushioned";N/A;N/A;1;8;0;8;0;0
309;0;bd8cafdf-3e85-383c-99a8-44227e08e2a5;N/A;"Nike Sportswear Club Fleece";N/A;N/A;1;1;0;1;0;0
310;0;7eb62d3d-f9d6-4a85-9f67-1e377692ae7d;N/A;"Nike Air Max Terrascape Plus";N/A;N/A;1;4;0;4;0;0
311;0;f0e3d643-f60c-3443-b668-8465d3cb145f;N/A;"Nike Everyday Lightweight";N/A;N/A;1;0;0;0;0;1
312;0;763fd173-5cbd-424d-8681-68ab4ca7d8e3;N/A;"Air Jordan 1 Mid SE Craft";N/A;N/A;1;7;0;7;0;0
314;0;459cf0c6-9f63-4d81-9c90-e8f4096143a3;N/A;"Nike Dunk Low";N/A;N/A;1;1;0;1;0;0
316;0;8f3106f2-b3dd-3dcd-ac37-d97826ce405f;N/A;"Nike Air Max 95 Essential";N/A;N/A;1;0;0;0;0;1
317;0;ca85b990-22a9-361f-8787-103232afa13e;N/A;"Nike Dunk Low Retro";N/A;N/A;1;4;0;4;0;0
318;0;3e4f2a47-431d-390f-ba9f-baffd1c15e54;N/A;"Nike Dry";N/A;N/A;1;4;0;4;0;0
319;0;f8ae1259-a422-416f-8c91-ca3a65709292;N/A;"Air Jordan 1 Mid";N/A;N/A;1;3;0;3;0;0
320;0;5a535fd7-03ff-3a30-ae58-22b3680c4710;N/A;"Nike Court Vision Low Next Nature";N/A;N/A;1;1;0;1;0;0
322;0;91a3a766-ec25-4c31-a434-daa9e0d5ed90;N/A;"Air Jordan 1 Mid SE";N/A;N/A;1;6;0;6;0;0
323;0;d9c946fa-4920-4330-a744-a7b69e739983;N/A;"Air Jordan 1 Low SE";N/A;N/A;1;8;0;8;0;0
324;0;44204d9f-7742-32f5-be85-49df64b971f4;N/A;"Nike Everyday Cushioned";N/A;N/A;1;10;1;9;0;0
325;0;044776c0-43d0-40a2-9ab5-0ac57b854bda;N/A;"Nike Sportswear Tech Fleece Windrunner";N/A;N/A;1;6;0;6;0;0
326;0;c92f3880-ca81-4aa8-af11-12077fc2a099;N/A;"Air Jordan 1 Low";N/A;N/A;1;9;0;9;0;0
327;0;fe39abdd-b5ae-4d2e-8218-b7f8eff6ade7;N/A;"Air Jordan 1 Mid";N/A;N/A;1;3;0;3;0;0
329;0;b4d6fdd7-8a7c-4cda-bcbb-8f5f0e45d28b;N/A;"Nike Mercurial Superfly 9 Academy";N/A;N/A;1;3;0;3;0;0
331;0;22b4ed46-3869-4622-9c57-e7f19228b574;N/A;"Nike Lunar Force 1";N/A;N/A;1;3;0;3;0;0
332;0;04ed0e3b-bab4-33cd-95cb-7a0ddd055ec8;N/A;"Nike Everyday Lightweight";N/A;N/A;1;0;0;0;0;1
333;0;f2cfa23d-dfd4-37c5-a2aa-9a3186d75053;N/A;"Nike Everyday Cushioned";N/A;N/A;1;10;0;10;0;0
334;0;52bbe6f5-3254-4dad-a6ed-d086a24d947c;N/A;"Nike Dunk Low Retro";N/A;N/A;1;1;0;1;0;0
335;0;9531e135-2ef5-4107-9c78-df08af24cffd;N/A;"Nike Court Royale 2 Next Nature";N/A;N/A;1;6;0;6;0;0
336;0;0393a5a8-a80e-4159-b7cc-9d8964e76264;N/A;"Nike Superfly 9 Academy Mercurial Dream Speed";N/A;N/A;1;8;0;8;0;0
337;0;027b17f5-65aa-3622-92d7-23639bee065a;N/A;"Nike Everyday Cushioned";N/A;N/A;1;2;0;2;0;0
338;0;36575a20-945f-3077-b6a1-a3c1487016ff;N/A;"Nike Lightweight";N/A;N/A;1;6;0;6;0;0
339;0;0f42d17e-7e5b-370f-b609-0c57eaf8c55f;N/A;"Nike Everyday Cushioned";N/A;N/A;1;8;0;8;0;0
340;0;d8acd047-e9ea-4ea6-85a9-152851f6e511;N/A;"Nike Court Vision Mid Winter";N/A;N/A;1;9;0;9;0;0
341;0;5ec8f518-ff34-4d55-aecc-f8c051559a2c;N/A;"Jordan Essentials";N/A;N/A;1;3;0;3;0;0
342;0;d2cc93dc-8a8c-461d-a587-a17359c1cae4;N/A;"Jordan Brooklyn Fleece";N/A;N/A;1;4;0;4;0;0
344;0;32a6a2b6-17cb-45d0-bb1e-e84dfa74cdd2;N/A;"FC Barcelona Stadium 2023/24 (wersja domowa)";N/A;N/A;1;9;0;9;0;0
345;0;574fcbc8-98c2-456d-ae17-40349881cb0d;N/A;"Air Jordan 1 Retro High OG";N/A;N/A;1;1;0;1;0;0
346;0;2f5c2173-a2a6-4984-bf9f-a80c2bb51599;N/A;"Jumpman MVP";N/A;N/A;1;0;0;0;0;1
347;0;7955b796-804c-4788-939a-6dd90adaaaf1;N/A;"Jordan Essentials";N/A;N/A;1;9;0;9;0;0
348;0;cbf46002-289c-41d7-990a-adf2912ec9ba;N/A;"Nike Therma-FIT Academy";N/A;N/A;1;0;0;0;0;1
349;0;1443a706-f078-4b1a-b6f5-d64a8b83d2f6;N/A;"Nike Air More Uptempo '96";N/A;N/A;1;7;0;7;0;0
351;0;3bc45dcd-ca39-4610-a18d-a7f8509202d8;N/A;"Jordan Stay Loyal 2";N/A;N/A;1;6;0;6;0;0
352;0;729995b8-a945-30e6-9ed8-ae4ee7988e38;N/A;"Nike Air Max Plus 3";N/A;N/A;1;3;0;3;0;0
353;0;9afaae9e-533a-4953-a6e9-72f8065e3586;N/A;"Jordan Winterized 6 Rings";N/A;N/A;1;7;0;7;0;0
354;0;4ca15fea-5807-458c-a083-153a790ac0cd;N/A;"Jordan Essentials";N/A;N/A;1;7;0;7;0;0
355;0;81ff9425-8fe3-42ec-a338-21e6a167afac;N/A;"Nike Winter Warrior";N/A;N/A;1;10;0;10;0;0
356;0;49c0d547-4969-4e4f-ab07-eee86a90bd66;N/A;"Air Jordan 1 Mid";N/A;N/A;1;8;0;8;0;0
358;0;9eb892c3-d826-430f-b564-48391329f8cd;N/A;"Jordan Peak";N/A;N/A;1;0;0;0;0;1
359;0;865f7792-7c95-4e94-94b1-683770161f2f;N/A;"Nike x Billie Eilish Air Force 1 High '07";N/A;N/A;1;1;0;1;0;0
360;0;9e60f07a-02e4-4569-8074-96f2145fc0e8;N/A;"Nike Windrunner PrimaLoft®";N/A;N/A;1;0;0;0;0;1
361;0;4edfdc8c-4e5c-4eb5-99c6-0271858add38;N/A;"Jordan Brooklyn Fleece";N/A;N/A;1;2;0;2;0;0
362;0;df74ea3c-b226-490e-bda9-99d7519b16c5;N/A;Jordan;N/A;N/A;1;8;0;8;0;0
363;0;b8d1014a-e5e9-461e-85b5-d472060c833a;N/A;"Nike Peak";N/A;N/A;1;10;0;10;0;0
364;0;4e831f90-b891-454b-bbdd-ff41477d6fca;N/A;"Nike Dunk High Retro";N/A;N/A;1;7;0;7;0;0
365;0;3c5f20b9-1461-41cb-ace0-5de71544c43d;N/A;"Jumpman Two Trey";N/A;N/A;1;10;0;10;0;0
366;0;7550c382-c2d2-47d9-bd1d-7061fef32271;N/A;"Los Angeles Lakers Icon Edition 2022/23";N/A;N/A;1;10;0;10;0;0
367;0;b5605e9d-09a6-4fc2-8f61-fa5d0d9ccd40;N/A;"Nike Dry";N/A;N/A;1;6;0;6;0;0
368;0;3b82d9b6-3f93-496e-8635-2f7740d4c5fd;N/A;"Nike Pro";N/A;N/A;1;9;0;9;0;0
369;0;b74dc8c8-8bb2-4aa8-87b7-79073ec7140e;N/A;"Jordan Stadium 90";N/A;N/A;1;1;0;1;0;0
371;0;98f4d6a1-9a95-44bf-84f9-559dd3962537;N/A;"Nike Air More Uptempo '96";N/A;N/A;1;9;0;9;0;0
372;0;8e47b558-2000-439d-95a2-3dedbbf17281;N/A;"Nike Air Max 95 By You";N/A;N/A;1;1;0;1;0;0
373;0;d4a246fd-e6d5-4892-87ac-34987c528aa0;N/A;"Nike Phantom GX Elite";N/A;N/A;1;10;0;10;0;0
374;0;00262910-47b4-4c39-9c7f-821d926aa482;N/A;"Paris Saint-Germain Strike";N/A;N/A;1;1;0;1;0;0
375;0;002ae2e1-7ed3-41c5-9431-8c2c9700e873;N/A;"Inter Mediolan Stadium 2023/24 (wersja domowa)";N/A;N/A;1;7;0;7;0;0
376;0;00397f14-9f16-453f-8e41-3fa62363f68e;N/A;"Liverpool F.C. AWF (wersja trzecia)";N/A;N/A;1;0;0;0;0;1
377;0;0049137f-a621-4b1c-a7a1-f392c57839e6;N/A;"Nike Infinity Pro 2";N/A;N/A;1;9;0;9;0;0
378;0;7c1481e8-dd0b-4ab8-b913-2a120c18ee22;N/A;"Nike Dri-FIT Victory";N/A;N/A;1;10;0;10;0;0
379;0;004fc98e-636b-4178-baf5-3162bcffbda9;N/A;"Nike ACG Air Zoom Gaiadome GORE-TEX";N/A;N/A;1;1;0;1;0;0
380;0;14ba7fd9-239e-4477-8c41-60171b0a84f9;N/A;"Nike Revolution 7";N/A;N/A;1;2;0;2;0;0
381;0;a1e85352-5877-46ca-a2c5-d5d009b3ee98;N/A;"Nike G.T. Hustle 2";N/A;N/A;1;10;0;10;0;0
382;0;00a3753c-9214-4aea-bfc9-f7cf33723c52;N/A;"Nike SB React Leo";N/A;N/A;1;7;0;7;0;0
383;40;00c6a582-0b05-425d-aeae-e2cf9d211280;N/A;"Dallas Cowboys Sideline Club";"Rozmiar - S";N/A;1;10;0;10;N/A;0
383;41;00c6a582-0b05-425d-aeae-e2cf9d211280;N/A;"Dallas Cowboys Sideline Club";"Rozmiar - M";N/A;1;10;0;10;N/A;0
383;42;00c6a582-0b05-425d-aeae-e2cf9d211280;N/A;"Dallas Cowboys Sideline Club";"Rozmiar - L";N/A;1;10;0;10;N/A;0
383;43;00c6a582-0b05-425d-aeae-e2cf9d211280;N/A;"Dallas Cowboys Sideline Club";"Rozmiar - XL";N/A;1;10;0;10;N/A;0
384;0;6cdb84f8-69a0-3d56-b07f-38552c23f544;N/A;"Nike Pacer";N/A;N/A;1;6;0;6;0;0
385;0;00cc102e-8dfa-4ddf-991f-e4e944981bed;N/A;"Nike Zoom Superfly Elite 2";N/A;N/A;1;7;0;7;0;0
386;0;00cc23bf-236c-474e-84f3-a43e90cb0915;N/A;"Nike Sportswear Everyday Essential";N/A;N/A;1;4;0;4;0;0
387;0;00cc60b9-81af-3058-8982-1bd3d2733724;N/A;"Nike Air Max 270";N/A;N/A;1;3;0;3;0;0
388;0;f1278e44-ce92-4dba-af8e-d639e2ba2224;N/A;"Jordan Essentials";N/A;N/A;1;9;0;9;0;0
389;0;f0d8bc2d-cb61-4926-a94c-65ff422ea2c1;N/A;"Nike Sportswear Club Fleece";N/A;N/A;1;3;0;3;0;0
390;0;bb52cbb7-6264-4a6c-b671-0273f6f00fae;N/A;"Nike Dri-FIT Strike";N/A;N/A;1;10;0;10;0;0
391;0;01482684-724a-4931-93c0-d4c743c6f94b;N/A;"Nike Dri-FIT Swoosh";N/A;N/A;1;9;0;9;0;0
392;0;0153de20-322d-4b20-980e-63cbd3c983d9;N/A;"Nike Match";N/A;N/A;1;8;0;8;0;0
393;0;016f8d18-76c9-4a7a-9528-280d55d194d4;N/A;"Paris Saint-Germain";N/A;N/A;1;7;0;7;0;0
394;0;016fef30-ee5c-4850-8402-8d48195d99cf;N/A;"Jordan Essentials";N/A;N/A;1;10;0;10;0;0
395;0;b58efabf-effe-4277-8a49-ca3952cf236c;N/A;"Nike Invincible 3";N/A;N/A;1;0;0;0;0;1
396;0;018f746a-6021-44f8-a621-6c919859b768;N/A;"Chicago Bulls Starting 5";N/A;N/A;1;0;0;0;0;1
397;0;59c5f8f1-5cea-4a87-8c49-679332c9a939;N/A;"Nike Sportswear";N/A;N/A;1;6;0;6;0;0
398;0;01b50d81-84d1-4527-a48b-97778d15215b;N/A;"Giannis Antetokounmpo Milwaukee Bucks City Edition 2023/24";N/A;N/A;1;8;0;8;0;0
399;0;01c882ea-fe22-4dec-b6b8-fb178b27fa62;N/A;"Nike Air Max Plus Utility";N/A;N/A;1;2;0;2;0;0
400;0;40103886-a2a4-4cb6-9580-c5c88b157da2;N/A;"Nike Stride";N/A;N/A;1;1;0;1;0;0
401;0;01edcadc-e5f9-45c2-bba6-fdf0ca05a2d9;N/A;"Nike Sportswear Tech Pack";N/A;N/A;1;4;0;4;0;0
402;0;01f2be81-f3f5-4636-9dcb-0a50424a66f9;N/A;"Nike Pro";N/A;N/A;1;7;0;7;0;0
403;0;020a3be9-974a-4556-8da8-d02ac6969f04;N/A;"Liverpool FC Tech Fleece Windrunner Third";N/A;N/A;1;6;0;6;0;0
404;0;021c3c24-afd3-47b4-b4fb-d42cc8eacd47;N/A;"Nike Zoom Superfly Elite 2";N/A;N/A;1;6;0;6;0;0
405;0;54787115-84d4-4cfd-aa95-7dc3ffa78dc9;N/A;"Nike Phantom GX Pro";N/A;N/A;1;1;0;1;0;0
406;0;ef533eec-f4b5-4785-91f3-b6c00754e020;N/A;"Nike Mercurial Superfly 9 Elite By You";N/A;N/A;1;10;1;9;0;0
407;0;02370a85-0ecc-3681-84ae-30b7f908a42e;N/A;"Nike P-6000";N/A;N/A;1;10;0;10;0;0
408;0;02398ad7-e897-4148-90b3-3603bb006ef7;N/A;Nike;N/A;N/A;1;8;0;8;0;0
409;44;023ec259-2766-4791-8784-93af515879a5;N/A;"Nike Therma Prime Logo (NFL Green Bay Packers)";"Rozmiar - S";N/A;1;10;0;10;N/A;0
409;45;023ec259-2766-4791-8784-93af515879a5;N/A;"Nike Therma Prime Logo (NFL Green Bay Packers)";"Rozmiar - M";N/A;1;10;0;10;N/A;0
409;46;023ec259-2766-4791-8784-93af515879a5;N/A;"Nike Therma Prime Logo (NFL Green Bay Packers)";"Rozmiar - L";N/A;1;10;0;10;N/A;0
409;47;023ec259-2766-4791-8784-93af515879a5;N/A;"Nike Therma Prime Logo (NFL Green Bay Packers)";"Rozmiar - XL";N/A;1;10;0;10;N/A;0
410;0;02404cd4-5f84-4734-bc2b-440d1b724c27;N/A;"Chelsea F.C. Strike (wersja domowa/wyjazdowa)";N/A;N/A;1;7;0;7;0;0
411;0;025a26aa-ff18-4ab2-a961-abeabde79808;N/A;"Nike Unlimited";N/A;N/A;1;9;0;9;0;0
412;0;026e059b-7b16-43d7-812f-c11b5be77307;N/A;"Ja Standard Issue";N/A;N/A;1;3;0;3;0;0
413;0;027762c7-50bf-4249-813c-9da693f87d6b;N/A;"Nike Zoom Mercurial Vapor 15 Academy KM MG";N/A;N/A;1;4;0;4;0;0
414;0;02778157-07ca-4819-bc83-9d17997aa685;N/A;"Chelsea F.C. Strike Elite";N/A;N/A;1;3;0;3;0;0
415;0;028c7de5-0ab4-4eeb-b990-84470b7639c3;N/A;"Premier League Academy";N/A;N/A;1;7;0;7;0;0
416;0;814cea48-e2b1-48f4-9595-bbc8bf5111ff;N/A;"Nike Dri-FIT Strike";N/A;N/A;1;2;0;2;0;0
417;0;ddd46c49-0212-4705-be5d-fb048da8d933;N/A;"Nike Hike";N/A;N/A;1;10;0;10;0;0
418;0;02a51e9b-5112-45ee-9bed-9942b5cbee46;N/A;"Nike Club Fleece";N/A;N/A;1;4;0;4;0;0
419;0;02ae9bbf-444f-4fc4-9bb9-cb55e62acbcd;N/A;"Nike Vapor 15 Elite Mercurial Dream Speed";N/A;N/A;1;9;0;9;0;0
420;0;97d7edd1-e3b1-4473-9944-d8ab1884683f;N/A;"Jordan Club";N/A;N/A;1;7;0;7;0;0
421;0;02cb7cfc-ebf8-43b6-a16b-8f7f36e4241c;N/A;"Nike Challenger";N/A;N/A;1;5;0;5;0;0
422;0;fac9a66a-b3bf-4a19-aefd-a52aa0d2c481;N/A;"Nike ACG";N/A;N/A;1;6;0;6;0;0
423;0;f0d8f7a4-4e89-4732-a65b-476bbf6977e1;N/A;"Jordan Dri-FIT Sport";N/A;N/A;1;9;0;9;0;0
424;0;032977fe-f33a-4980-989e-958da40df28b;N/A;"Nike Sportswear";N/A;N/A;1;1;0;1;0;0
425;0;0330ff95-40ff-4505-bad4-ab272f41bc0a;N/A;"The Nike Polo Rafa";N/A;N/A;1;4;0;4;0;0
426;0;034e4cbe-73fa-46d2-9f63-2e5461ab6d1a;N/A;"Nike Sportswear";N/A;N/A;1;10;0;10;0;0
427;0;dbb69bd3-4ca7-32c2-bef7-a736d7bb626c;N/A;"Nike Academy Team";N/A;N/A;1;7;0;7;0;0
428;0;4fbecd55-cea8-483b-bdc9-a0bd6c9d35e0;N/A;"Air Jordan 1 Zoom CMFT 2";N/A;N/A;1;5;0;5;0;0
429;0;89d47ea8-a293-46a8-ab9f-63f77800aebc;N/A;"Nike Air";N/A;N/A;1;2;0;2;0;0
430;0;03a41ac8-6804-41c4-b814-1ce18ccece93;N/A;"Nike Tiempo Legend 10 Elite";N/A;N/A;1;2;0;2;0;0
431;0;03d585e3-9c1d-494c-9757-fd2c049661bd;N/A;"Nike Terra";N/A;N/A;1;9;0;9;0;0
432;0;03d84554-fd4d-4daf-8114-57a7a9650625;N/A;KD16;N/A;N/A;1;10;0;10;0;0
433;0;040b1d45-b499-41cf-88a3-7d99eab17592;N/A;"Paris Saint-Germain";N/A;N/A;1;9;0;9;0;0
434;0;041489c0-eb72-4283-bb84-fe6df411877e;N/A;"Nike Air Alpha Force 88";N/A;N/A;1;6;0;6;0;0
435;0;0418d85b-c46f-4f54-ba51-7f1c2c85890b;N/A;"Nike x MMW 005";N/A;N/A;1;5;0;5;0;0
436;0;17918e62-a1b8-441d-a525-cd9090df1acf;N/A;"Nike Dunk High By You";N/A;N/A;1;5;0;5;0;0
437;0;041e8395-83e9-47b2-b388-2561af736245;N/A;"New York Knicks City Edition";N/A;N/A;1;9;0;9;0;0
438;0;ad48f534-f64b-444b-a11e-75f163aefd8d;N/A;"Chicago Bulls Essential";N/A;N/A;1;2;0;2;0;0
439;0;0449524e-1281-4256-9e5d-da0e5a50ef4c;N/A;"NikeCourt Dri-FIT Advantage";N/A;N/A;1;6;0;6;0;0
440;0;4e56e9a2-ca41-43c9-8a59-fc630a5ad6c9;N/A;"Nike Sportswear Tech Pack";N/A;N/A;1;10;0;10;0;0
441;0;0474e52a-f652-4cc2-8b36-6161395f3e7f;N/A;"Nike Lean";N/A;N/A;1;9;0;9;0;0
442;0;383e1517-93e6-4f69-a992-c6fdb4ac6df6;N/A;"Nike Sportswear Club PrimaLoft®";N/A;N/A;1;4;0;4;0;0
443;0;0496867f-f178-4484-8c08-9ce1092a169c;N/A;"NikeCourt Dri-FIT";N/A;N/A;1;4;0;4;0;0
444;0;41889312-d88c-470f-87fc-5d89c499b429;N/A;"Jordan Wordmark";N/A;N/A;1;1;0;1;0;0
445;0;049dc754-3d30-4bfb-a16e-c5f60933421c;N/A;"Jordan Playground 2.0 8P";N/A;N/A;1;5;0;5;0;0
446;0;04a14dcf-e0e1-4dec-9e7d-e9446f8855ad;N/A;"Jordan ADG 4 x Eastside Golf";N/A;N/A;1;10;1;9;0;0
447;0;04a2997c-0e2a-4b79-aff3-3b8844d2503e;N/A;"Chelsea FC Academy Pro (trzecia wersja)";N/A;N/A;1;2;0;2;0;0
448;0;04b7baaf-831c-40e5-a891-1dfb8741aca2;N/A;"Plecak Jordan MVP";N/A;N/A;1;5;0;5;0;0
449;0;d4d47f2d-bea4-3191-b289-26ddf6fb5ce7;N/A;"Nike Academy";N/A;N/A;1;9;0;9;0;0
450;0;bde8f9c6-b2a8-4f76-aaba-cd1bee0cb92b;N/A;"Nike Solo Swoosh";N/A;N/A;1;2;0;2;0;0
451;0;f8d23bfb-e335-4238-b63a-621539248595;N/A;"Nike Everyday Essential";N/A;N/A;1;1;0;1;0;0
452;0;0511a667-5c9c-43bb-a1e3-af78b66b671f;N/A;"Nike Air Max 97";N/A;N/A;1;2;0;2;0;0
453;0;053748ec-4af2-49d8-b3d8-409eb64e9bcf;N/A;"Nike Mercurial Superfly 9 Academy By You";N/A;N/A;1;0;0;0;0;1
454;0;0545590d-df3c-477f-936d-aa05501e98b6;N/A;"Nike P-6000";N/A;N/A;1;8;0;8;0;0
455;0;05480a2b-3006-4015-9091-3f8c10f170e7;N/A;"Atlético Madryt Travel (wersja trzecia)";N/A;N/A;1;0;0;0;0;1
456;0;4df536f7-b7fd-4a31-ac88-a6b1d466163c;N/A;"Air Jordan 13 Retro";N/A;N/A;1;8;0;8;0;0
457;0;057d0d39-b9ba-43dd-aa42-032abb3dc1bd;N/A;"Nike Club";N/A;N/A;1;10;0;10;0;0
458;0;0587178b-d59d-4b11-a277-25b38223a67b;N/A;"Nike Pegasus Shield";N/A;N/A;1;4;0;4;0;0
459;0;058fe8a1-dbc6-4e50-877d-f675c1e41363;N/A;"Nike Trail Lava Loops";N/A;N/A;1;4;0;4;0;0
460;0;059c2184-0ec8-4163-b820-7222882ce080;N/A;"Nike Mercurial Vapor 15 Club";N/A;N/A;1;2;0;2;0;0
461;48;059d57ba-b646-41bc-a0c4-f6c374e63ecd;N/A;"Nike Totality";"Rozmiar - S";N/A;1;10;0;10;N/A;0
461;49;059d57ba-b646-41bc-a0c4-f6c374e63ecd;N/A;"Nike Totality";"Rozmiar - M";N/A;1;10;0;10;N/A;0
461;50;059d57ba-b646-41bc-a0c4-f6c374e63ecd;N/A;"Nike Totality";"Rozmiar - L";N/A;1;10;0;10;N/A;0
461;51;059d57ba-b646-41bc-a0c4-f6c374e63ecd;N/A;"Nike Totality";"Rozmiar - XL";N/A;1;10;0;10;N/A;0
462;0;059dd360-7bc8-41c6-aa57-09a0d49466d2;N/A;"Tottenham Hotspur Strike Elite";N/A;N/A;1;3;0;3;0;0
463;0;12594b60-8e8e-4fdd-be21-8b2697b11338;N/A;Rafa;N/A;N/A;1;7;0;7;0;0
464;0;05bd94ab-b958-4245-9291-e6156dc3aeaf;N/A;"Nike Icon";N/A;N/A;1;8;0;8;0;0
465;0;bbbfa8ac-4679-46fd-b762-828381b700b5;N/A;"Nike Sportswear Premium Essentials";N/A;N/A;1;4;0;4;0;0
466;0;05cb9dbe-4600-4583-b354-b9de8c9d89f3;N/A;"Nike TechKnit";N/A;N/A;1;8;0;8;0;0
467;0;514d53d7-198f-45a2-9f5e-bbd67cda114b;N/A;"Jordan Dri-FIT Sport";N/A;N/A;1;5;0;5;0;0
468;0;05cfde0e-0c1d-4625-9c69-5ab4d4558ae1;N/A;"Nike Everyday Plus";N/A;N/A;1;10;0;10;0;0
469;0;05e17fb9-b6a7-4d84-a4a4-371323708433;N/A;"Nike Everyday Plus";N/A;N/A;1;9;0;9;0;0
470;0;05ea4b8d-7aa3-4e3b-9e86-21b4af3bcf04;N/A;"Nike Strike";N/A;N/A;1;8;0;8;0;0
471;0;05f53356-78ae-40fb-98c6-5a1cea4a471a;N/A;"Stephen Curry Golden State Warriors City Edition 2023/24";N/A;N/A;1;9;0;9;0;0
472;0;d195485f-096d-4aff-b992-05ea93d98db7;N/A;"Nike Air";N/A;N/A;1;1;0;1;0;0
473;0;061e0ab4-6a09-47ec-af33-c13e36dc8d1b;N/A;"Nike Sportswear Club";N/A;N/A;1;3;0;3;0;0
474;0;998a1577-83c3-4a82-bec7-313d1735b606;N/A;"Nike Sportswear Tech Pack";N/A;N/A;1;1;0;1;0;0
475;0;06414c62-172e-4fe5-a23a-e0ddfe074753;N/A;"Nike Dri-FIT Tour";N/A;N/A;1;10;0;10;0;0
476;0;720ec1ee-d6a1-439b-96e8-67914b0b98d6;N/A;Nike;N/A;N/A;1;0;0;0;0;1
477;0;06562246-92d7-4ed4-983b-db6330933669;N/A;"Nike Sportswear";N/A;N/A;1;7;0;7;0;0
478;0;066b2f01-1fd4-4da4-8fdb-94164be9bb75;N/A;"Nike Sportswear Solo Swoosh";N/A;N/A;1;5;0;5;0;0
479;0;068fc55c-6862-4fd8-ac51-33b66b05c197;N/A;Holandia;N/A;N/A;1;7;0;7;0;0
480;0;06a98765-6c06-4ae5-90a9-afff22097290;N/A;"Nike ACG";N/A;N/A;1;9;0;9;0;0
482;0;2065bac1-05a7-49b2-9c6f-f7b75e7caff0;N/A;"Zion 2 „Full Moon”";N/A;N/A;1;3;0;3;0;0
483;0;2040ee07-3297-413f-a429-8fc2d912c92f;N/A;"Nike Phantom GX Academy MG By You";N/A;N/A;1;7;0;7;0;0
484;0;61b1298d-7a51-47e9-aecf-0d523482810e;N/A;"Jordan Essentials";N/A;N/A;1;8;0;8;0;0
485;0;06f08301-3914-40ea-88ad-a4a1af5ad281;N/A;"Nike Phantom GX Academy";N/A;N/A;1;4;0;4;0;0
486;0;06f2fb4c-744c-32ac-b3d2-066a1aaec486;N/A;"Nike Rise 365";N/A;N/A;1;8;0;8;0;0
